iteration,scaling_factors,train_score
10,"[1.0214348  0.9707247  1.00608037 1.00387295 1.02512098 1.00365163
 1.02941884 1.00620426 0.98928366 0.99301746 1.01555711 0.99409607
 0.98594049 1.00249097 1.01621261 1.00114052 0.95753071 1.00045639
 1.0229252  0.98155142 1.00262629 1.01142297 0.98155409 1.01183228
 0.98584328 0.99756778 0.99691377 0.98954386 0.99737057 1.01399281
 1.00218555 1.02046743 0.97835677 0.99944369 0.96931139 0.98957496
 1.03357464 1.0033245  1.0024659  0.99827348 1.01150109 1.01672561
 0.980067   1.04131415 1.01390029 0.98401517 1.00212866 0.96843036]",0.2461564303949656
11,"[1.01520541 0.97377548 1.01101957 1.00730803 1.03390761 1.01255576
 1.02178027 1.00963812 0.9820508  0.98421659 1.01415423 0.99333008
 0.9877884  0.99608071 1.02049047 0.99676896 0.95642167 1.00644649
 1.01619082 0.97954168 0.99953256 1.01276874 0.98454793 1.01318194
 0.98837439 0.997991   0.99405166 0.99249026 1.00413104 1.02078704
 1.00559087 1.03042927 0.97775885 0.9911062  0.96332418 0.98459842
 1.0377115  0.99610295 1.00564501 1.00578996 1.00501933 1.01601616
 0.98223899 1.03191794 1.01224751 0.98945269 1.01175178 0.97534482]",0.318074021385367
12,"[1.01401403 0.96792274 1.00915384 0.99801073 1.0308989  1.00797329
 1.03034367 1.0107029  0.97911302 0.98889276 1.01886409 1.00279297
 0.97909478 0.98661109 1.01215496 0.99845135 0.95035654 1.00790386
 1.02361498 0.98632624 0.99463823 1.0074629  0.99320158 1.02141429
 0.98275829 0.98945661 0.99055722 0.98512564 1.00236671 1.0273731
 0.99867766 1.0388314  0.9863268  0.99293395 0.95575478 0.98579639
 1.04596598 1.00255848 1.01264417 1.00990568 1.01104099 1.00772193
 0.98044913 1.03276385 1.01686964 0.99273853 1.01453559 0.97407656]",0.064355965780728
13,"[1.00650938 0.96630982 1.00569928 0.99576993 1.03406742 1.0111507
 1.03371204 1.00549619 0.97226624 0.98530083 1.01345893 1.00775958
 0.98078892 0.98762568 1.01203483 0.9980012  0.9516085  1.00140215
 1.02440168 0.99540342 0.99913863 1.00852242 0.99849525 1.01202636
 0.97497695 0.99409508 0.98066371 0.9947404  1.00108175 1.0317828
 0.99949451 1.03524934 0.98327921 0.98441259 0.96139962 0.98029412
 1.04836934 1.00804323 1.01145713 1.00320021 1.01915327 0.99815175
 0.98354744 1.04200328 1.0076709  0.99653434 1.01261399 0.97461463]",0.27685606725514333
14,"[1.00870298 0.96977615 1.00479626 0.99312384 1.0360261  1.00676598
 1.02984357 1.00123311 0.96625575 0.97782965 1.01240431 1.00687465
 0.98020151 0.97981697 1.00277831 0.99898179 0.96038658 1.01115832
 1.02964747 1.00423275 0.99432243 1.00702856 1.00534858 1.01044227
 0.97400857 1.00389575 0.98852797 0.99134289 0.99166565 1.03519374
 0.99599338 1.02775885 0.99327399 0.97785809 0.97045535 0.98099733
 1.04913819 0.99986297 1.0015171  1.00633241 1.0125944  0.99419163
 0.97711305 1.04653547 1.0159983  1.00019588 1.01455494 0.97699323]",0.36040459979741346
15,"[1.00853267 0.97332157 1.00768559 0.99581826 1.0348972  1.00241421
 1.02100692 0.99397035 0.97363889 0.97324905 1.02123408 1.00268156
 0.98991867 0.97452624 1.01123684 0.995727   0.95109203 1.01819271
 1.03049281 1.00815828 0.99636395 1.00275384 1.00155487 1.00412206
 0.96592078 1.01219837 0.99324522 0.98335088 0.99718564 1.04128433
 0.99141014 1.01842121 0.98681426 0.97772737 0.96563732 0.97440553
 1.04128772 0.9969938  1.00282553 1.00376215 1.00613481 1.00097143
 0.9837483  1.03710048 1.00899783 0.99921026 1.01673076 0.96882957]",0.12927959653136678
16,"[0.99902182 0.98288906 0.99852705 0.99299628 1.03192685 1.00517605
 1.02338736 0.98433963 0.97169464 0.96698174 1.01347868 0.999047
 0.98242995 0.96784521 1.01165173 0.99753849 0.9468718  1.01523163
 1.03012053 1.000465   0.99096024 1.00590079 1.0070972  1.00186038
 0.97150522 1.01719212 0.98662159 0.97932263 0.99717786 1.03968412
 0.98485491 1.01032234 0.97970791 0.97825626 0.97240726 0.9646651
 1.04644075 0.99411985 0.99483074 1.00094671 1.00429483 0.99685772
 0.98448612 1.04584285 1.00533488 0.99659448 1.02297289 0.96788187]",0.3869207941933386
17,"[0.99288546 0.9729058  0.99028139 0.99253721 1.03396388 1.00403386
 1.01956301 0.9909333  0.96414205 0.96095321 1.01029459 1.00480104
 0.9855546  0.97204489 1.02108428 1.00385797 0.9479351  1.01600769
 1.03422279 1.00803734 0.99101239 0.99756905 1.01692402 0.99970916
 0.96635651 1.01894373 0.98076532 0.98525172 0.98879182 1.0393364
 0.97624023 1.01434761 0.97345174 0.97585738 0.96975251 0.97242267
 1.04204789 0.99053304 1.0026338  1.01073755 1.0084363  0.99382635
 0.98811119 1.05121525 0.99883721 0.99199269 1.02609727 0.97660927]",0.3114016853180298
18,"[0.98815849 0.97396505 0.99314875 0.99649323 1.0375973  0.99601479
 1.02796577 0.99480422 0.96214325 0.95214541 1.01248945 1.00348704
 0.99153604 0.97513278 1.02512383 1.01268314 0.94841852 1.0231262
 1.02587298 1.01151443 1.00093066 0.9993929  1.02399089 1.00544116
 0.97142264 1.01593586 0.98227837 0.97911915 0.98774579 1.03130027
 0.96968895 1.02005832 0.98310089 0.97220944 0.95975418 0.97461148
 1.0497328  0.99703692 0.99983478 1.01440396 0.99890934 1.00374888
 0.9915058  1.05645261 0.9990068  0.989299   1.02239735 0.97019681]",-0.004472582909879508
19,"[0.98498156 0.96676749 1.00071334 0.9922659  1.04431    0.99169936
 1.0212486  0.99913637 0.96863906 0.95336541 1.01873157 1.01059001
 0.99791677 0.98220579 1.02514027 1.01110358 0.95072058 1.0247307
 1.02335357 1.01530435 1.00649848 0.99899141 1.02008867 1.00614248
 0.98011016 1.01846376 0.97536579 0.98111007 0.98450255 1.02783132
 0.97846247 1.02261656 0.9827922  0.97568901 0.9538575  0.97654094
 1.0556621  0.99210065 0.99157715 1.01191765 0.99393114 1.00597185
 0.99746078 1.05920602 0.99986249 0.98246244 1.03147346 0.96091926]",-0.03503938339835999
